책장명,도서분류,책제목,작가,출판사,상세내용
1번 책장,웹툰/카툰에세이,505 생활만화. 1,오배고,레진코믹스,"“그리기 싫은데 너무나 그리고 싶다!” 귀여운 생활만화가의 웃프고 쿨짠한 일상! 오배고 만화 『505 생활만화』. 오배고동에 살아서 이름은 505. 아니, 505동에 살아서 이름은 오배고. 이..."
1번 책장,웹툰/카툰에세이,김케장 단편선,김케장,나무야미안해,케장을 이미 알고 있는 사람들은 모두 알다시피 절대 기술적으로 잘 그린 그림이나 치밀한 스토리라인을 가진 만화는 아니다. 어쩌면 무성의함이 돋보일 정도이다. 깔끔하고 느낌 좋은...
1번 책장,웹툰/카툰에세이,선천적 얼간이들. 4,가스파드,재미주의,"『선천적 얼간이들』은 얼굴로 웃기는 못생긴 캐릭터, 유치한 개그 하나 없이 세련된 작화로도 충분히 웃길 수 있다는 가능성을 보여주는 작품이다. 작가와 그의 절친들의 유쾌했던 추억을..."
1번 책장,웹툰/카툰에세이,싸우자 귀신아 2,임인스,보리별,임인스 만화 『싸우자 귀신아』제2권. ‘싸우자 귀신아’의 주인공 봉팔은 귀신이 보이고 만져지는 특별한 능력을 지녔다. 그러나 귀신을 본다는 이유로?왕따를 당하고?주변의 편견으로 인해...
1번 책장,웹툰/카툰에세이,썸툰 02,모히또모히칸,(주)이미지앤노블,모히또모히칸의 만화 『썸툰』 시즌 제2권. 실화를 바탕으로 썸타는 연인들의 이야기를 진짜 달달하고 가끔은 아련하게 씁쓸하고 사랑스런 이야기들이 펼쳐진다. 너무 달달해서 현실에는...
1번 책장,웹툰/카툰에세이,옹동스. 2,권윤주,위즈덤하우스,"스노우캣의 반려묘 두 번째 이야기『옹동스』제2권. 반려묘인 나옹, 은동과 함께 살아가는 이야기 '옹동스'를 카카오페이지에 2년 넘게 연재하고 있는 스노우캣. 반려동물을 키우는 사람들의..."
1번 책장,웹툰/카툰에세이,패션왕. 2,기안84,중앙북스,"의 참맛은 표현의 과격함, 과장된 묘사에 있다. 멋이 넘치다 못해 폭발하고, 멋이 흐르는 곳은 폭풍우가 몰아친다. 전기가 한데 모아져 번개를 치고 머리가 홀랑 타 버린다. 허허실실한 만화..."
1번 책장,웹툰/카툰에세이,십이야. 8(완결),무류,발해,"우리는 처음부터 알고 있었지만나는 눈을 돌리고너는 고개를 돌리고,우리는 발길을 돌렸다. 뒤틀린 운명 이 꽃은 피지 못하고저 꽃은 지지 못하니 너와 내가 알지만,나와 너는 모를 이야기..."
1번 책장,웹툰/카툰에세이,우리집에 곰이 이사왔다. 2,켄타,영컴,"동화 같은 네이버 웹툰 ‘우리집에 곰이 이사왔다’ 1,2권 동시 출간!궁금한 점을 모두 담은 단행본 한정 Q&A까지! 갱장해! 갱장해!마법의 숲 ‘테바’의 슈퍼파워 털북숭이 ‘곰토토’ 요원..."
1번 책장,웹툰/카툰에세이,흰둥이. 2,윤필,창비,"흰둥이가 전하는 희망의 메시지. 윤필 만화『흰둥이』제2권. 도시의 동물들을 통해 사회의 타자를 그려내는 만화가 윤필의 데뷔작이자 대표작으로, 작가의 다른 작품의 시발점이 된 작품..."
1번 책장,웹툰/카툰에세이,단지 1,단지,레진코믹스,단지 만화 『단지』제1권. 이 만화의 주인공은 단지는 평범한 서른한 살 여성이다. 분가 십 개월 째 한 통의 전화가 걸려 와서 이야기는 시작된다. 핸드폰에 뜬 이름은 ‘엄마’. 불안한...
1번 책장,웹툰/카툰에세이,고독한 미식가,타니구치 지로,이숲,세계적으로 유명한 만화가 다니구치 지로가 그려내는 도쿄 미식 기행주인공인 독신주의자 이노가시라 고로는 도쿄와 오사카의 소박하고 오래된 18곳 식당을 혼자 돌아다니며 일본 고유의...
1번 책장,웹툰/카툰에세이,환상 기네코크라시. 1,사무라 히로아키,대원씨아이,<무한의 주인><파도여 들어다오>의 작가 사무라 히로아키의 걸작 단편집!!
1번 책장,웹툰/카툰에세이,로동심문. 1,최성국,꼬레아우라,"70여년 분단되어 너무나 다르게 살아온 남과 북, 이념의 차이가 아니더라도 강산이 변하여도 7번이 바뀌었을 세월이 흘렀으니, 그동안 얼마나 많은 분야, 분야에 크나 큰 차이가 벌어져..."
1번 책장,웹툰/카툰에세이,즐거우리 우리네 인생 2,현이씨,재미주의,출근을 위해 세수를 하고 단장을 하지만 어제보다 오늘 더 못생겼다. 간만의 휴일에 넋을 놓고 벽지의 무늬 개수를 세다 거울을 들여다본다. 화들짝! 못생겼는데 언제 이렇게 살까지 쪘을까...
1번 책장,웹툰/카툰에세이,난생처음 사장,린지 폴락,부키,지시만 받다 지시하는 날이 왔다! 이제 어떻게 하지?! 『난생처음 사장』은 리더로서 첫걸음을 내딛는 젊은 당신을 위해 변화하는 시대에 젊은 리더가 갖춰야 할 리더십에 대한 내용을 담고...
1번 책장,웹툰/카툰에세이,네가 나에게 들려주는 이야기. 2,나치 미사코,AK COMICS(에이케이 코믹스),『네가 나에게 들려주는 이야기』제2권. 애니멀 커뮤니케이터 아리가와 토우코가 전해주는 고양이들의 진짜 속마음. 우리가 모르는 고양이의 따뜻한 마음이 애틋하게 가슴 한 켠을 촉촉히...
1번 책장,웹툰/카툰에세이,500만원으로 결혼하기,불친절,이마,"『500만 원으로 결혼하기』는 레진코믹스 연재 중 생활툰 분야 베스트 1위를 차지하기도 했던 화제작이다. 단행본에는 작가의 숨은 속사정을 담은 에세이와 취재 및 결혼식 준비 사진, 외전..."
1번 책장,웹툰/카툰에세이,자동차카툰(Car Toon). 2,청설모,길찾기,"자동차 마니아들의 꾸준한 사랑을 받으며 장기간 연재했던 웹툰 '자동차 카툰'. 엔크린 닷컴에서 연재되었던 마지막 회까지 모두 수록되었으며, 자동차에 대한 애정을 시작으로 각종 정보..."
1번 책장,웹툰/카툰에세이,용이 산다. 2,정솔,북폴리오,초(정솔) 웹툰만화 『용이 산다』제2권. 김옥분이 사랑에 빠졌다! 엄마의 약조 때문에 떠밀려 나간 맞선 자리에서 이영수에게 한 눈에 반한 김옥분은 상사병으로 시름시름 앓게 된다. 한편...
1번 책장,웹툰/카툰에세이,스트리트 페인터,수신지,미메시스,"회화과 4학년 아랑, 거리의 화가로 나서다! 수신지 그래픽노블 『스트리트 페인터』. 이 책은 저자 수신지가 올레 마켓에서 6개월간 연재했던 동명의 웹툰을 책으로 엮은 것으로 작가의..."
1번 책장,웹툰/카툰에세이,내가 기다리던 네가 아냐,파비앵 툴메,휴머니스트,"《내가 기다리던 네가 아냐》는 프랑스 만화가 파비앵의 자전적 이야기로, 자신과 다운증후군 딸의 특별한 만남을 그린 그래픽노블이다. 의사에게서 딸아이가 다운증후군이라는 진단을..."
1번 책장,웹툰/카툰에세이,그냥 이대로도 좋아,해다홍,미디어샘,"해다홍 에세이툰 『그냥 이대로도 좋아』. 다이어트 중이지만 갖은 핑계를 대며 기어코 늦은 밤 야식을 시켜먹고, 방청소는 하지 않아도 스마트폰 앱 업데이트는 해야 직성이 풀린다. 새 책..."
1번 책장,웹툰/카툰에세이,앙영의 일기장. 1,앙영,레진코믹스,폭풍 공감! 먹고 잘 때가 제일 행복한 여대생의 밀착 일상! 『앙영의 일기장』제1권. 심각한 고민을 나누다 치킨을 먹자는 이야기에 다시 행복해진다. 쇼핑한 옷이 도착했을 때는 행복하다...
1번 책장,웹툰/카툰에세이,"안녕, 베타",최영희,사계절,"이 책에는 ‘한낙원과학소설상’ 1회 수상작 최영희 작가의 「안녕, 베타」를 비롯해 수상 작가 신작 「전설의 동영상」과 우수 응모작 5편이 실려 있다. 우주여행, 인조인간, 홀로그램..."
1번 책장,웹툰/카툰에세이,모두에게 완자가. 2,완자,재미주의,레즈비언 여성 작가가 그려낸 커밍아웃과 이별 이야기. 완자의 네이버 웹툰 『모두에게 완자가』 제1권. 레즈비언 여성 작가가 자신의 성 정체성을 밝히며 성 소주자의 일상을 보여준 만화...
1번 책장,잡지,김형대,,,
